gene_name	module	color	kME_blue	kME_yellow	kME_grey	kME_turquoise	kME_brown	kME_magenta	kME_pink	kME_green	kME_black	kME_red	kME_purple
AABR07031756.1	AABR07031756.1	grey	grey	0.0759304426071259	0.197968741526819	0.125516237088428	0.0071755293423808	0.121932309812682	0.0169042493210614	-0.0524127649523914	0.0918316750810101	0.116721659334305	0.021520876270698	0.155741152902584
AABR07031756.2	AABR07031756.2	brown	brown	-0.00837959905957153	0.184570304376967	0.161690542105664	0.167371631548288	0.260343948599757	0.0598377411954603	-0.0229382563227226	-0.00912553657544199	0.0611808925962316	-0.0107478907504962	0.0685557019994643
AABR07032135.1	AABR07032135.1	black	black	0.117499976885758	0.163958567272733	0.108406480718338	-0.0485469111336445	0.160820177423332	0.0788379356255053	-0.0216274193263394	0.000945783938964391	0.166269552416558	0.0218871068190388	0.0275813501007197
AABR07033887.1	AABR07033887.1	yellow	yellow	-0.121864449133575	0.100611983650205	-0.0964916560597685	0.115434310051137	0.150892045119802	-0.141632448934113	-0.250610404740077	-0.0279035070180743	-0.00755492854755933	-0.132260952227308	0.0264260244086025
AABR07035218.1	AABR07035218.1	yellow	yellow	0.162137111454058	0.298301216915832	0.253464254445469	-0.00897416712724159	0.221333447445296	0.138532251001458	0.0192211379894992	0.0676737596009071	0.225707737540037	0.0266354591475731	0.238084973870138
AABR07036007.1	AABR07036007.1	grey	grey	0.0312417556799208	0.0189967785714762	0.117582199066752	0.0233587372957135	0.089914487812721	0.0364862915328646	0.0758657426288636	0.0551611486661702	0.0998456295148651	0.0797837351794772	0.0576606337661995
AABR07037436.1	AABR07037436.1	grey	grey	0.0380868756812348	0.0818840313546462	0.0338519509084666	-0.0677611314537283	-0.00707381009156891	0.0828542332945007	0.0449296771215471	0.0379626391781639	0.0177178275541492	0.0695692629285425	0.101888232106287
AABR07042821.1	AABR07042821.1	red	red	0.225915724903018	0.0636705136901114	0.182338142079324	-0.0820656390134815	-0.0555213864364545	0.201108784894937	0.195680695353127	0.137540381870849	0.166142745262835	0.239374861006412	0.0821442238197566
AABR07043748.1	AABR07043748.1	black	black	0.119074222223013	0.220533929003286	0.172599695129602	0.0665445964002456	0.146635444208158	0.197056165022189	0.0487124780633534	0.0454754745132101	0.26239958226127	0.0815644170170759	0.105171524341053
AABR07044388.1	AABR07044388.1	blue	blue	0.158794628492849	0.11498021673877	0.139720313676269	-0.0430108228071932	-0.00461041401686358	0.0730551153166023	0.151170884177215	0.0957299867189143	0.0493840333821647	0.138277220784871	0.0942812123174449
